participant_id,group,type,sentence_id,sentence,condition,lexicalization,value
H8364,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
H8364,A,stimulus,SM3,Катя должна показать какой-нибудь фокус.,modalized,3,5
H8364,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
H8364,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,4
H8364,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
H8364,A,stimulus,SQ3,Каждый участник конкурса показал какой-нибудь фокус.,quantified,3,4
H8364,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,1
H8364,A,stimulus,SE1,Маша загадала какое-нибудь число.,episodic,1,2
H8364,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,1
H8364,A,stimulus,SM4,Катя должна рассказать какой-нибудь анекдот.,modalized,4,5
H8364,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
H8364,A,stimulus,SE2,Маша спела какую-нибудь песню.,episodic,2,1
N6969,,training,T1,Коля пришел домой.,,,5
N6969,,training,T2,Дети пришел домой.,,,1
N6969,,training,T3,Большинство гостей уже ушло.,,,4
N6969,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
N6969,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
N6969,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,4
N6969,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,4
N6969,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,4
N6969,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,4
N6969,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,3
N6969,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
N6969,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,1
N6969,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
N6969,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,4
N6969,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,2
N6969,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
N7873,,training,T1,Коля пришел домой.,,,NULL
N7873,,training,T2,Дети пришел домой.,,,5
N7873,,training,T3,Большинство гостей уже ушло.,,,5
N7873,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,5
N7873,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,5
N7873,A,stimulus,SM4,Катя должна рассказать какой-нибудь анекдот.,modalized,4,5
N7873,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,5
N7873,A,stimulus,SM3,Катя должна показать какой-нибудь фокус.,modalized,3,5
N7873,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
N7873,A,stimulus,SE2,Маша спела какую-нибудь песню.,episodic,2,5
N7873,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
N7873,A,stimulus,SQ3,Каждый участник конкурса показал какой-нибудь фокус.,quantified,3,5
N7873,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
N7873,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,5
N7873,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,5
N7873,A,stimulus,SE1,Маша загадала какое-нибудь число.,episodic,1,5
O9433,,training,T1,Коля пришел домой.,,,4
O9433,,training,T2,Дети пришел домой.,,,1
O9433,,training,T3,Большинство гостей уже ушло.,,,5
O9433,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
O9433,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
O9433,A,stimulus,SE2,Маша спела какую-нибудь песню.,episodic,2,1
O9433,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,1
O9433,A,stimulus,SE1,Маша загадала какое-нибудь число.,episodic,1,1
O9433,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,1
O9433,A,stimulus,SM3,Катя должна показать какой-нибудь фокус.,modalized,3,5
O9433,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
O9433,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,1
O9433,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
O9433,A,stimulus,SM4,Катя должна рассказать какой-нибудь анекдот.,modalized,4,3
O9433,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,5
O9433,A,stimulus,SQ3,Каждый участник конкурса показал какой-нибудь фокус.,quantified,3,3
H5474,,training,T1,Коля пришел домой.,,,5
H5474,,training,T2,Дети пришел домой.,,,1
H5474,,training,T3,Большинство гостей уже ушло.,,,1
H5474,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,5
H5474,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
H5474,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,1
H5474,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,1
H5474,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
H5474,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,1
H5474,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
H5474,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,5
H5474,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
H5474,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,5
H5474,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,1
H5474,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,1
H5474,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,5
I3539,,training,T1,Коля пришел домой.,,,5
I3539,,training,T2,Дети пришел домой.,,,2
I3539,,training,T3,Большинство гостей уже ушло.,,,5
I3539,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,5
I3539,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
I3539,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,1
I3539,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
I3539,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,3
I3539,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
I3539,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,5
I3539,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,4
I3539,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,2
I3539,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,5
I3539,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,4
I3539,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
I3539,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
N4513,,training,T1,Коля пришел домой.,,,5
N4513,,training,T2,Дети пришел домой.,,,2
N4513,,training,T3,Большинство гостей уже ушло.,,,5
N4513,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,2
N4513,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,1
N4513,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,5
N4513,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
N4513,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,5
N4513,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
N4513,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,2
N4513,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,1
N4513,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
N4513,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
N4513,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,1
N4513,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
N4513,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,5
X4748,,training,T1,Коля пришел домой.,,,5
X4748,,training,T2,Дети пришел домой.,,,1
X4748,,training,T3,Большинство гостей уже ушло.,,,5
X4748,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,3
X4748,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,3
X4748,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
X4748,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,5
X4748,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
X4748,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
X4748,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,5
X4748,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,4
X4748,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,3
X4748,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,4
X4748,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,3
X4748,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
X4748,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,5
Z7061,,training,T1,Коля пришел домой.,,,5
Z7061,,training,T2,Дети пришел домой.,,,1
Z7061,,training,T3,Большинство гостей уже ушло.,,,1
Z7061,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,1
Z7061,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
Z7061,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,5
Z7061,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
Z7061,A,stimulus,SM3,Катя должна показать какой-нибудь фокус.,modalized,3,5
Z7061,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
Z7061,A,stimulus,SM4,Катя должна рассказать какой-нибудь анекдот.,modalized,4,5
Z7061,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,5
Z7061,A,stimulus,SE2,Маша спела какую-нибудь песню.,episodic,2,5
Z7061,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,5
Z7061,A,stimulus,SE1,Маша загадала какое-нибудь число.,episodic,1,5
Z7061,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
Z7061,A,stimulus,SQ3,Каждый участник конкурса показал какой-нибудь фокус.,quantified,3,5
E2430,,training,T1,Коля пришел домой.,,,5
E2430,,training,T2,Дети пришел домой.,,,2
E2430,,training,T3,Большинство гостей уже ушло.,,,5
E2430,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
E2430,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,2
E2430,A,stimulus,SM3,Катя должна показать какой-нибудь фокус.,modalized,3,5
E2430,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
E2430,A,stimulus,SE1,Маша загадала какое-нибудь число.,episodic,1,2
E2430,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,1
E2430,A,stimulus,SM4,Катя должна рассказать какой-нибудь анекдот.,modalized,4,5
E2430,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,2
E2430,A,stimulus,SE2,Маша спела какую-нибудь песню.,episodic,2,1
E2430,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,4
E2430,A,stimulus,SQ3,Каждый участник конкурса показал какой-нибудь фокус.,quantified,3,3
E2430,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,1
E2430,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,3
X8960,,training,T1,Коля пришел домой.,,,5
X8960,,training,T2,Дети пришел домой.,,,1
X8960,,training,T3,Большинство гостей уже ушло.,,,5
X8960,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
X8960,B,stimulus,SQ1,Каждый участник конкурса загадал какое-нибудь число.,quantified,1,5
X8960,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,2
X8960,B,stimulus,SQ4,Каждый участник конкурса рассказал какой-нибудь анекдот.,quantified,4,3
X8960,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
X8960,B,stimulus,SM1,Катя должна загадать какое-нибудь число.,modalized,1,5
X8960,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,2
X8960,B,stimulus,SE3,Маша показала какой-нибудь фокус.,episodic,3,2
X8960,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,2
X8960,B,stimulus,SM2,Катя должна спеть какую-нибудь песню.,modalized,2,5
X8960,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
X8960,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
X8960,B,stimulus,SE4,Маша рассказала какой-нибудь анекдот.,episodic,4,1
W6375,,training,T1,Коля пришел домой.,,,NULL
W6375,,training,T2,Дети пришел домой.,,,1
W6375,,training,T3,Большинство гостей уже ушло.,,,2
W6375,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
W6375,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,5
W6375,A,stimulus,SM4,Катя должна рассказать какой-нибудь анекдот.,modalized,4,5
W6375,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,1
W6375,A,stimulus,SQ3,Каждый участник конкурса показал какой-нибудь фокус.,quantified,3,5
W6375,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
W6375,A,stimulus,SM3,Катя должна показать какой-нибудь фокус.,modalized,3,5
W6375,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,5
W6375,A,stimulus,SE2,Маша спела какую-нибудь песню.,episodic,2,1
W6375,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
W6375,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,2
W6375,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,1
W6375,A,stimulus,SE1,Маша загадала какое-нибудь число.,episodic,1,1
W1836,,training,T1,Коля пришел домой.,,,5
W1836,,training,T2,Дети пришел домой.,,,1
W1836,,training,T3,Большинство гостей уже ушло.,,,5
W1836,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,2
W1836,A,stimulus,SE2,Маша спела какую-нибудь песню.,episodic,2,5
W1836,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
W1836,A,stimulus,SQ3,Каждый участник конкурса показал какой-нибудь фокус.,quantified,3,5
W1836,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
W1836,A,stimulus,SM4,Катя должна рассказать какой-нибудь анекдот.,modalized,4,5
W1836,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,5
W1836,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,5
W1836,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,2
W1836,A,stimulus,SE1,Маша загадала какое-нибудь число.,episodic,1,5
W1836,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
W1836,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,5
W1836,A,stimulus,SM3,Катя должна показать какой-нибудь фокус.,modalized,3,5
Q1455,,training,T1,Коля пришел домой.,,,5
Q1455,,training,T2,Дети пришел домой.,,,1
Q1455,,training,T3,Большинство гостей уже ушло.,,,5
Q1455,,filler_neg,FN2,Петя прочитал какое-либо длинное стихотворение.,,,5
Q1455,,filler_neg,FN3,Ваня купил любую книгу про динозавров.,,,2
Q1455,A,stimulus,SE2,Маша спела какую-нибудь песню.,episodic,2,4
Q1455,,filler_pos,FP2,Ваня прочитал какую-то странную статью.,,,5
Q1455,A,stimulus,SM4,Катя должна рассказать какой-нибудь анекдот.,modalized,4,5
Q1455,,filler_pos,FP1,Ваня нарисовал какое-то экзотическое растение.,,,5
Q1455,A,stimulus,SQ3,Каждый участник конкурса показал какой-нибудь фокус.,quantified,3,3
Q1455,,filler_neg,FN4,Ваня потерял любое золотое кольцо.,,,2
Q1455,A,stimulus,SQ2,Каждый участник конкурса спел какую-нибудь песню.,quantified,2,5
Q1455,,filler_neg,FN1,Петя нарисовал какое-либо необычное животное.,,,5
Q1455,A,stimulus,SE1,Маша загадала какое-нибудь число.,episodic,1,5
Q1455,,filler_pos,FP3,Петя купил очень красивое пальто.,,,5
Q1455,A,stimulus,SM3,Катя должна показать какой-нибудь фокус.,modalized,3,5
